,empirical_coverage,average_length,median_length,winkler_score
hqr,99.11192075600593,109.31485408604306,110.03638807157957,126.32073467095813
qra,98.88420812934076,114.80200760166383,116.35380501364716,139.38138757593384
cqr_hqr,99.25993396333827,118.02105056782429,115.45475703955883,130.38658293330934
cqr_qra,99.47626095867015,133.39067531161092,134.5487796302528,143.312454979739
aci_hqr,97.72287373334851,89.62700295750693,88.09901498532159,133.04131330439776
aci_qra,97.89365820334737,99.99691492987685,99.26206055291223,144.93249297732
waci_hqr,99.04360696800639,111.1999343433814,107.27673242523349,127.57405933488582
waci_qra,99.27131959467152,124.37799206719156,124.5509334964707,137.40272959118317
