,empirical_coverage,average_length,median_length,winkler_score
cfqra,92.51964021404987,58.12007604554909,59.14748639024357,74.86501255641542
qra,92.39439826938404,59.52201646885886,61.67143084017323,77.9377096334109
cqr_cfqra,92.39439826938404,59.045413692243415,61.02254473753097,74.91963240577438
cqr_qra,92.45132642605033,61.42288909885477,64.00573690209151,78.21140994216451
aci_cfqra,89.75293180006831,54.9477139681953,54.22100427364242,74.2337818232991
aci_qra,89.82124558806785,56.80409428935449,56.221960467805246,77.37159943705971
waci_cfqra,91.99590117272002,58.05530088996118,60.14517229539956,74.63752385133051
waci_qra,92.2463850620517,61.21445351606212,64.8998595494532,77.64424658614601
