,empirical_coverage,average_length,median_length,winkler_score
hqr,96.11749971535922,74.5922041810754,75.90208455224264,90.99434775422
qra,95.98087213936013,78.39018164966375,81.23297659688123,96.33930549286883
cqr_hqr,96.90310827735398,79.66495280125118,81.81266860066734,92.4477646771938
cqr_qra,96.61846749402254,84.13980450863286,86.8097368143824,97.55982533524406
aci_hqr,94.91062279403393,72.91665897573392,72.55784999058852,91.33031840794708
aci_qra,94.7853808493681,77.15404186220574,78.40575351784226,96.41700135766855
waci_hqr,96.58431060002277,78.38116299037561,80.69148762063875,92.42225885628756
waci_qra,96.64123875668906,82.73329126623004,86.8868640626316,97.06185785885212
