,mean_abs_deviation,max_abs_deviation,std_empirical_coverage
hqr,0.4245327744092613,1.0,0.48143723213376416
qra,0.334368839983032,1.185792349726782,0.4167287045951343
cqr_hqr,0.3746787434189181,0.7267759562841576,0.33907676520234586
aci_hqr,1.2771165506400208,2.0054644808743234,0.3219292650037423
waci_hqr,0.2961174738628121,0.9125683060109253,0.3527795470593014
