,empirical_coverage,average_length,median_length,winkler_score
hqr,84.15120118410566,42.10788184576894,43.33597800257377,59.35599327333395
qra,84.26505749743824,42.912289855490435,44.656463891142494,60.88116857533065
cqr_hqr,82.92155300011386,42.028201966902174,43.80183286296531,59.323450086292915
cqr_qra,83.27450757144483,43.01760042449212,45.00631721906555,60.73486317394157
aci_hqr,79.60833428213594,39.14682624039206,38.200696635849006,58.895686570892124
aci_qra,79.58556301946943,39.69310549858802,39.39187357827915,60.30028479030422
waci_hqr,82.1587157007856,41.01312415635906,42.59766688600982,59.05098982320966
waci_qra,82.92155300011386,42.23367590828557,44.55360665155692,60.0275342047864
