,empirical_coverage,average_length,median_length,winkler_score
hqr,88.53750428131065,2.420906782295675,2.3523655979328613,3.37027258160391
qra,88.69733987898162,2.3918076285926904,2.333098177503816,3.359629138224485
cqr_hqr,90.02169197396964,2.537338032275035,2.450067797658262,3.3394550090451163
cqr_qra,89.82760589108346,2.497718798195592,2.4261276442549136,3.3324645772557093
aci_hqr,89.34809909807055,2.4062879544500806,2.3130693100194506,3.0716419930394903
aci_qra,89.27959812764014,2.3783363507188864,2.3190911248982697,3.0584914742975706
waci_hqr,89.50793469574153,2.390859676141299,2.306627091158843,3.084980968449547
waci_qra,89.50793469574153,2.373367591623801,2.3003194457693876,3.0674142904747193
