,mean_abs_deviation,max_abs_deviation
aci_qra,2.447857142857144,5.285714285714278
waci_qra,2.122597402597402,8.142857142857139
aci_cfqra,2.447987012987014,5.857142857142861
waci_cfqra,2.014285714285713,7.0
