,mean_abs_deviation,max_abs_deviation
aci_qra,2.339269406392694,4.707762557077629
waci_qra,1.98812785388128,5.849315068493155
aci_cfqra,2.421917808219179,5.392694063926939
waci_cfqra,1.914155251141554,4.936073059360737
