,empirical_coverage,average_length,median_length,winkler_score
hqr,98.40164402329033,4.085861793012353,3.8806134335717752,5.314193161901701
qra,98.1162233131636,4.0273995528862905,3.85611166907333,5.453363290501622
cqr_hqr,98.52722913574608,4.336214246617027,4.06530893209807,5.351140778894457
cqr_qra,98.42447768010047,4.350872660015617,4.056804400811725,5.318194253472084
aci_hqr,96.60920196369449,3.5091691230584563,3.325393756466391,5.459363216299501
aci_qra,96.6777029341249,3.4968069363360494,3.286744194009751,5.498834968621417
waci_hqr,97.11154241351753,3.6250301831478398,3.399114883392415,5.33385193905324
waci_qra,97.06587509989724,3.6581527877277686,3.4018309759752157,5.426975510079913
