,empirical_coverage,average_length,median_length,winkler_score
hqr,94.15458385660463,2.967423053638017,2.8800882841007898,3.9527146693006823
qra,93.69791072040186,2.9353751564543993,2.848807841525157,3.9511494912690615
cqr_hqr,94.72542527685809,3.1020469510075777,2.9231464348476024,3.900421604386447
cqr_qra,94.85101038931386,3.0755179522166443,2.9441450239069025,3.917689749936539
aci_hqr,93.78924534764242,2.8049595470447897,2.6724857072303267,3.540840343217719
aci_qra,93.62940974997146,2.786645725764783,2.6781153735182057,3.531723449092622
waci_hqr,94.08608288617421,2.8478435896931296,2.7095696663717996,3.558135152971889
waci_qra,94.0175819157438,2.8414354358344287,2.735334391508001,3.59033187443539
