,empirical_coverage,average_length,median_length,winkler_score
hqr,78.44502797122959,1.8103508048982333,1.7713528615806755,2.7537317764430664
qra,78.68478136773605,1.8104030250512062,1.7732817931440596,2.751817451455458
cqr_hqr,79.92921566388857,1.888731659179945,1.8432292284211576,2.726363816408538
cqr_qra,80.10046808996461,1.8718257882806117,1.8397051307015833,2.725100045238568
aci_hqr,79.70087909578719,1.8777600265873404,1.8203013302674131,2.579765919360825
aci_qra,79.74654640940747,1.862283386977471,1.8060436756009093,2.571180570691565
waci_hqr,79.9177988354835,1.8714440596097832,1.7851983532088744,2.580465621953586
waci_qra,79.95204932069872,1.8568804756666608,1.787468599337931,2.572017266058664
