,mean_abs_deviation,max_abs_deviation
aci_qra,2.3219178082191787,3.9086757990867653
waci_qra,1.933789954337898,3.4520547945205493
aci_hqr,2.39041095890411,4.365296803652967
waci_hqr,1.8881278538812793,4.707762557077629
