full_date,date,hour,real,pred1,pred2,pred3,pred4
2023-05-11 16:00:00,2023-05-11,16.0,50.01,37.82402038574219,36.42934799194336,46.27653413510536,47.22614005668324
2023-05-11 17:00:00,2023-05-11,17.0,45.21,35.87921142578125,34.66410446166992,40.62236940718642,42.123620130350375
2023-05-11 18:00:00,2023-05-11,18.0,45.31,37.63362121582031,39.7206916809082,42.426417866268224,44.36291952560431
2023-05-11 19:00:00,2023-05-11,19.0,45.31,51.30370330810547,51.14006423950195,57.8773497812997,59.2510363017488
2023-05-11 20:00:00,2023-05-11,20.0,69.57,67.373046875,68.9344253540039,69.94828607214096,69.29496196931734
2023-05-11 21:00:00,2023-05-11,21.0,100.3,103.65768432617188,103.10409545898438,97.22471644003932,97.14479170684548
2023-05-11 22:00:00,2023-05-11,22.0,112.37,128.07608032226562,120.88493347167967,117.61711028374124,118.03967893197536
2023-05-11 23:00:00,2023-05-11,23.0,113.95,114.09984588623048,109.90328979492188,106.3640104821653,106.75545395822267
2023-05-12 00:00:00,2023-05-11,24.0,101.66,106.1543197631836,104.11249542236328,97.49337204069808,98.19848274763874
2023-05-12 01:00:00,2023-05-12,1.0,98.53,98.26016998291016,99.6996841430664,85.9457854215386,85.49479421959714
2023-05-12 02:00:00,2023-05-12,2.0,90.55,95.01416778564452,97.4316635131836,85.50921102727305,84.95497534469602
2023-05-12 03:00:00,2023-05-12,3.0,89.84,95.03429412841795,97.88644409179688,87.18093294538558,86.8716077530183
2023-05-12 04:00:00,2023-05-12,4.0,90.0,92.43191528320312,94.1661376953125,86.20739110044235,85.89753131646668
2023-05-12 05:00:00,2023-05-12,5.0,90.42,91.62090301513672,92.79298400878906,87.14798767459789,87.01374697640148
2023-05-12 06:00:00,2023-05-12,6.0,95.47,98.1083984375,97.3815460205078,89.04921582005532,88.58041522928163
2023-05-12 07:00:00,2023-05-12,7.0,101.63,108.2264175415039,104.14214324951172,96.68031434371612,94.6562676717874
2023-05-12 08:00:00,2023-05-12,8.0,115.47,117.7970199584961,117.1326141357422,107.01115712226058,104.06727761320155
2023-05-12 09:00:00,2023-05-12,9.0,103.04,116.37937927246094,113.27628326416016,97.24894942226727,95.4698654767312
2023-05-12 10:00:00,2023-05-12,10.0,93.09,97.23822021484376,94.0557861328125,79.06394886553164,78.07489446004995
2023-05-12 11:00:00,2023-05-12,11.0,72.0,78.15799713134766,77.39988708496094,63.81757602080997,63.80840370039657
2023-05-12 12:00:00,2023-05-12,12.0,61.01,70.905029296875,67.89936828613281,55.13119789819313,55.86107616035663
2023-05-12 13:00:00,2023-05-12,13.0,60.61,66.5020751953125,64.84839630126953,54.508182072615455,55.10366173640992
2023-05-12 14:00:00,2023-05-12,14.0,60.16,61.54118728637695,59.611209869384766,50.87216497043856,51.50762032052197
2023-05-12 15:00:00,2023-05-12,15.0,44.99,51.98503494262695,51.56473922729492,46.43396303310474,47.36459579152185
2023-05-12 16:00:00,2023-05-12,16.0,31.0,38.24679183959961,38.24625778198242,34.900146184724605,36.27567172955008
2023-05-12 17:00:00,2023-05-12,17.0,7.62,33.97954177856445,34.27887344360352,30.58625057831628,32.85608292757858
2023-05-12 18:00:00,2023-05-12,18.0,14.0,34.17319107055664,36.59402084350586,31.30571524204734,33.76547498924042
2023-05-12 19:00:00,2023-05-12,19.0,20.0,36.59954452514648,45.89789962768555,40.74100637689203,40.38857408063866
2023-05-12 20:00:00,2023-05-12,20.0,60.41,63.53054428100586,70.72356414794922,57.003365820936494,57.0812651271149
2023-05-12 21:00:00,2023-05-12,21.0,89.84,96.6919403076172,99.4553451538086,85.36904516501409,85.36441751297802
2023-05-12 22:00:00,2023-05-12,22.0,96.8,113.18656158447266,112.42369079589844,101.81299720242248,101.91057958772453
2023-05-12 23:00:00,2023-05-12,23.0,99.81,108.77434539794922,109.05220794677734,97.48990362650358,97.93322443894893
2023-05-13 00:00:00,2023-05-12,24.0,93.0,95.77155303955078,99.28104400634766,86.1629088213474,85.9757455020061
2023-05-13 01:00:00,2023-05-13,1.0,87.82,88.21744537353516,90.54264831542967,82.01520227432925,80.2052219191924
2023-05-13 02:00:00,2023-05-13,2.0,85.44,78.97628021240234,81.90946197509766,76.14679111899358,74.0147476603469
2023-05-13 03:00:00,2023-05-13,3.0,87.16,77.06542205810547,79.53125762939453,74.51691117258777,72.86435320414058
2023-05-13 04:00:00,2023-05-13,4.0,78.1,75.31805419921875,78.1843490600586,74.48681444316497,73.11735611592051
2023-05-13 05:00:00,2023-05-13,5.0,76.0,74.58556365966797,77.07363891601562,73.28649948444789,72.14356381577792
2023-05-13 06:00:00,2023-05-13,6.0,77.7,77.00453186035156,79.92383575439453,72.16633564718876,70.18349198223368
2023-05-13 07:00:00,2023-05-13,7.0,79.03,79.87635803222656,84.48844146728516,71.15764949277298,68.07795622292696
2023-05-13 08:00:00,2023-05-13,8.0,83.01,83.04824829101562,87.67159271240234,75.92779939049085,72.56865399431717
2023-05-13 09:00:00,2023-05-13,9.0,63.6,64.18212127685547,63.65180969238281,61.46239393262718,59.29148929514469
2023-05-13 10:00:00,2023-05-13,10.0,35.75,21.01056861877441,28.382509231567383,34.47341606885124,34.290689810013895
2023-05-13 11:00:00,2023-05-13,11.0,10.0,7.043519973754883,13.44481086730957,14.941390222646293,17.148186421943322
2023-05-13 12:00:00,2023-05-13,12.0,5.0,5.05735969543457,12.08702278137207,17.405957912144572,19.31099831078354
2023-05-13 13:00:00,2023-05-13,13.0,5.0,5.491640090942383,12.612741470336914,16.932704874392186,18.510631910845035
2023-05-13 14:00:00,2023-05-13,14.0,5.0,6.052087783813477,13.51951789855957,18.877267227095345,20.31107328524392
2023-05-13 15:00:00,2023-05-13,15.0,4.17,5.396181106567383,10.687250137329102,14.499893675030108,14.894753143996295
2023-05-13 16:00:00,2023-05-13,16.0,3.0,0.6526124477386475,6.275537490844727,4.695155579798907,5.640957608809643
2023-05-13 17:00:00,2023-05-13,17.0,2.91,0.0,3.099550008773804,1.11505781688966,2.0649629118624944
2023-05-13 18:00:00,2023-05-13,18.0,4.16,0.0,5.049013137817383,1.872800068936911,3.042779988853212
2023-05-13 19:00:00,2023-05-13,19.0,10.0,3.536210775375366,10.296274185180664,13.619477095472902,13.619549931231418
2023-05-13 20:00:00,2023-05-13,20.0,44.99,36.96589660644531,38.976173400878906,44.96731052369636,45.11949393495969
2023-05-13 21:00:00,2023-05-13,21.0,83.0,83.1417236328125,84.02010345458984,79.07942030794793,80.29282086296845
2023-05-13 22:00:00,2023-05-13,22.0,101.11,100.76766967773438,100.0624542236328,93.07970255383472,94.43526057531196
2023-05-13 23:00:00,2023-05-13,23.0,100.2,100.18181610107422,100.94446563720705,94.4956822814242,95.84108259435794
2023-05-14 00:00:00,2023-05-13,24.0,94.81,90.26044464111328,94.49681854248048,86.39159351211981,87.28014648858552
2023-05-14 01:00:00,2023-05-14,1.0,77.95,85.89875030517578,85.69813537597656,77.64053193370091,75.56477138848054
2023-05-14 02:00:00,2023-05-14,2.0,70.12,81.85118103027344,80.71002960205078,75.51323610956281,72.61609250774649
2023-05-14 03:00:00,2023-05-14,3.0,60.8,80.64581298828125,78.2293930053711,75.9977231352632,73.54510603101744
2023-05-14 04:00:00,2023-05-14,4.0,70.12,73.96002197265625,72.61746215820312,69.35435164475,67.59742846119319
2023-05-14 05:00:00,2023-05-14,5.0,70.12,72.50811004638672,71.05054473876953,67.52488401216637,65.93937471286593
2023-05-14 06:00:00,2023-05-14,6.0,70.26,73.65758514404297,73.05492401123047,69.11975362882077,66.5270855918418
2023-05-14 07:00:00,2023-05-14,7.0,70.51,74.94131469726562,73.23075103759766,67.7852386341738,64.0747052668293
2023-05-14 08:00:00,2023-05-14,8.0,65.0,73.31694793701172,68.6786880493164,69.03144716889813,65.00298154253645
2023-05-14 09:00:00,2023-05-14,9.0,41.0,39.62706756591797,42.21650695800781,52.30863372862088,50.01724515364503
2023-05-14 10:00:00,2023-05-14,10.0,0.0,14.530388832092283,10.488884925842283,24.947425856465134,24.34726480365744
2023-05-14 11:00:00,2023-05-14,11.0,0.0,5.105782508850098,2.3965539932250977,0.1231611336557847,3.387399672118533
2023-05-14 12:00:00,2023-05-14,12.0,0.0,4.492920875549316,1.5571832656860352,0.2831506668912453,2.8036195513129485
2023-05-14 13:00:00,2023-05-14,13.0,0.0,4.756760597229004,1.8635644912719729,0.0,1.9766488075763533
2023-05-14 14:00:00,2023-05-14,14.0,0.0,4.879197120666504,2.116532325744629,1.1722870580506708,2.704252713803996
2023-05-14 15:00:00,2023-05-14,15.0,0.0,3.26857852935791,1.0022211074829102,0.0,0.0
2023-05-14 16:00:00,2023-05-14,16.0,0.0,1.1205453872680664,0.0,0.0,0.0
2023-05-14 17:00:00,2023-05-14,17.0,0.0,0.7434244751930237,0.0,0.0,0.0
2023-05-14 18:00:00,2023-05-14,18.0,0.0,2.1271448135375977,0.8384409546852112,0.0,0.0
2023-05-14 19:00:00,2023-05-14,19.0,1.5,5.021538734436035,3.3016061782836914,0.0,1.2266079537111096
2023-05-14 20:00:00,2023-05-14,20.0,4.28,27.78959846496582,25.715288162231445,36.18853987563581,36.25352659805523
2023-05-14 21:00:00,2023-05-14,21.0,60.53,76.58235168457031,75.06588745117188,74.02405807668221,75.50484919401893
2023-05-14 22:00:00,2023-05-14,22.0,97.81,98.72337341308594,97.6008529663086,94.1527072078074,96.13277596804316
2023-05-14 23:00:00,2023-05-14,23.0,98.96,98.67227172851562,97.70040130615234,94.43755760077224,96.29006912276864
2023-05-15 00:00:00,2023-05-14,24.0,90.84,90.06608581542969,93.15159606933594,89.1967972472854,90.34626779800288
2023-05-15 01:00:00,2023-05-15,1.0,92.86,81.72541046142578,81.27618408203125,73.69840611214998,74.23639418302669
2023-05-15 02:00:00,2023-05-15,2.0,88.27,75.8098373413086,75.8604507446289,71.86999075074209,67.29655522094829
2023-05-15 03:00:00,2023-05-15,3.0,82.09,73.42118072509766,71.92095184326172,68.54326940485377,68.44571789976159
2023-05-15 04:00:00,2023-05-15,4.0,73.69,78.24877166748047,72.20272064208984,72.72826008135668,71.01323950821114
2023-05-15 05:00:00,2023-05-15,5.0,71.96,80.50081634521484,73.86215209960938,73.78275913822733,70.28042567493829
2023-05-15 06:00:00,2023-05-15,6.0,73.84,85.48568725585938,77.69300079345703,77.48037456182934,79.55047383316246
2023-05-15 07:00:00,2023-05-15,7.0,86.05,95.67391204833984,88.53701782226562,87.68447706358671,83.96843443981096
2023-05-15 08:00:00,2023-05-15,8.0,99.57,106.80522918701172,98.64324951171876,90.9902846797364,84.99281287565145
2023-05-15 09:00:00,2023-05-15,9.0,93.0,93.85962677001952,73.75650787353516,67.07963194944608,62.90325258728231
2023-05-15 10:00:00,2023-05-15,10.0,55.5,47.5158805847168,31.39264869689941,37.45829505962789,36.814704731205005
2023-05-15 11:00:00,2023-05-15,11.0,42.91,22.53215980529785,7.37841272354126,18.77806435191947,20.86544536426899
2023-05-15 12:00:00,2023-05-15,12.0,14.0,11.879594802856444,2.9629921913146973,12.164195384222763,12.85081358855021
2023-05-15 13:00:00,2023-05-15,13.0,5.0,13.042146682739258,4.425966739654541,16.32503328281812,16.4777844001963
2023-05-15 14:00:00,2023-05-15,14.0,4.17,12.932565689086914,4.670847415924072,16.8298659434154,10.664314383409806
2023-05-15 15:00:00,2023-05-15,15.0,4.17,11.159723281860352,3.598818302154541,13.095088280425408,12.898299157422514
2023-05-15 16:00:00,2023-05-15,16.0,4.16,10.682832717895508,3.820810794830322,13.306579057849127,9.634331340722936
2023-05-15 17:00:00,2023-05-15,17.0,4.16,8.410821914672852,2.7870583534240723,10.335898567762747,16.176243531396423
2023-05-15 18:00:00,2023-05-15,18.0,4.16,13.182817459106444,5.54577112197876,16.796875268881287,17.552327904095776
2023-05-15 19:00:00,2023-05-15,19.0,4.17,23.485780715942383,10.130327224731444,22.241443163067032,24.46299221170923
2023-05-15 20:00:00,2023-05-15,20.0,44.16,45.695438385009766,35.01839828491211,38.15973002096749,40.839351890442906
2023-05-15 21:00:00,2023-05-15,21.0,93.0,85.37406921386719,80.28205108642578,74.0572166271164,74.83912065627658
2023-05-15 22:00:00,2023-05-15,22.0,103.5,99.37952423095705,101.3999252319336,95.2020081328781,101.92680467116911
2023-05-15 23:00:00,2023-05-15,23.0,101.81,94.05435180664062,97.61666107177734,90.67433124987188,92.55415296445648
